日期,交通拥堵指数
2018-03-15,1.68
2018-03-16,1.78
2018-03-17,1.45
2018-03-18,1.41
2018-03-19,1.74
2018-03-20,1.74
2018-03-21,1.7
2018-03-22,1.7
2018-03-23,1.79
2018-03-24,1.49
2018-03-25,1.53
2018-03-26,1.78
2018-03-27,1.72
2018-03-28,1.74
2018-03-29,1.69
2018-03-30,1.82
2018-03-31,1.48
2018-04-01,1.45
2018-03-31,1.48
2018-04-01,1.45
2018-04-02,1.75
2018-04-03,1.7
2018-04-04,1.92
2018-04-05,1.44
2018-04-06,1.48
2018-04-07,1.53
2018-04-08,1.74
2018-04-09,1.73
2018-04-10,1.69
2018-04-11,1.72
2018-04-12,1.65
2018-04-13,1.87
2018-04-14,1.5
2018-04-15,1.46
2018-04-16,1.8
2018-04-17,1.73
2018-04-18,1.72
2018-04-19,1.79
2018-04-20,1.84
2018-04-21,1.63
2018-04-22,1.47
2018-04-23,1.85
2018-04-24,1.7
2018-04-25,1.8
2018-04-26,1.81
2018-04-27,1.77
2018-04-28,1.76
2018-04-29,1.5
2018-04-30,1.5
2018-05-01,1.49
2018-05-02,1.85
2018-05-03,1.64
2018-05-04,1.72
2018-05-05,1.42
2018-05-06,1.4
2018-05-07,1.7
2018-05-08,1.6
2018-05-09,1.61
2018-05-10,1.67
2018-05-11,1.72
2018-05-12,1.43
2018-05-13,1.46
2018-05-14,1.74
2018-05-15,1.65
2018-05-16,1.58
2018-05-17,1.57
2018-05-18,1.66
2018-05-19,1.42
2018-05-20,1.4
2018-05-21,1.76
2018-05-22,1.61
2018-05-23,1.62
2018-05-24,1.59
2018-05-25,1.89
2018-05-26,1.49
2018-05-27,1.44
2018-05-28,1.68
2018-05-29,1.61
2018-05-30,1.6
2018-05-31,1.58
2018-06-01,1.59
2018-06-02,1.42
2018-06-03,1.38
2018-06-04,1.64
2018-06-05,1.59
2018-06-06,1.59
2018-06-07,1.73
2018-06-08,1.65
2018-06-09,1.41
2018-06-10,1.38
2018-06-11,1.62
2018-06-12,1.6
2018-06-13,1.59
2018-06-14,1.62
2018-06-15,1.64
2018-06-16,1.41
2018-06-17,1.38
2018-06-18,1.34
